Keyword,Location,Page,company,rating,Job_title,Place,salary,post_date,Job_description
 Data ,,1,Summit Carbon Solutions,126,Data Architect,"Ames, IA",$88K - $126K (Glassdoor est.),30d+,"Location: HYBRID – Travel estimated 25% to Ames, IA
Summit Carbon Solutions is an innovative company which is developing and building the world’s largest carbon capture and storage project in the upper Midwest over the next several years. We are a dynamic and highly entrepreneurial team that is expanding rapidly. We are looking for a smart, flexible, and high-energy individual to join our team. Summit Carbon Solutions offers an exciting and collaborative work environment alongside excellent employee benefits and competitive pay!
Benefits include health plan, vision and dental, 401K match, employee assistance program, tuition reimbursement, paid time off, paid holidays, HSA/FSA, life insurance.
Position Summary:
The data architect will join our Information Technology team to enable and equip our customers with actionable insights by designing, building, and supporting data integration between systems using ETL tools and maintaining a data catalog while also supporting the data reporting team with data acquisition and transformations into our data warehouse.
Duties and Responsibilities:


Analyze and organize raw data, cataloging fields and entities
Build data systems and pipelines using ETL tools (i.e., FME, GLUE, Synapse and/or MuleSoft)
Evaluate business needs and objectives with report writers and report consumers
Conduct complex data analysis and collaborate on reporting with BI developers
Prepare data for prescriptive and predictive modeling
Build algorithms and prototypes
Identify opportunities for data acquisition and determine data update velocity

Knowledge, Skills, and Abilities:


Graduate degree in Computer Science, Statistics, Informatics, Information Systems, or another related field
5-10 years of experience in a data engineer or architect role
A successful history of manipulating, processing, extracting value form large, disconnected data sets
Experience can include using:
SQL and NoSQL databases
Data pipeline and workflow management tools
AWS cloud services: EC2, EMR, RDS, Redshift
Azure cloud services: Synapse, CloudSQL, Azure DataLake
Stream processing systems: Storm, Spark Streaming, etc.
Object oriented/object function scripting languages: Python, Java, C++, Scala, ext.
A firm understanding of API
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
Experience using Power BI a plus

Benefit Options Include:


Health Plan
Vision and Dental
401K match
Employee Assistance Program
Health Advocacy Program
Short- and Long-Term Disability
Life Insurance
Health Savings Account
Flexable Spending Account
Accident Insurance

Summit Carbon provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.


JDSJYKaSA0


Job Type: Full-time


Work Location: Hybrid remote in Ames, IA 50010


Show Less 
Report"
 Data ,,1,CEFCO Convenience Stores,3.2,Database Administrator,"Ames, IA",$50K - $76K (Glassdoor est.),12d,"The Database Administrator supports all aspects of the Digital Network Solutions payment processing system including but not limited to MS SQL Databases, data integrity, reporting, performance, disaster recovery and data translation.

At The Fikes Companies, our Mission is to build a highly successful company which our employees are proud of, our customers value, and the communities we serve can count on.

General Responsibilities:

Possesses advanced understanding of TSQL and Relational databases specifically Microsoft SQL Server.
Develops optimized stored procedures, queries, tables, and triggers for application integration.
Manages system import / exports and data retrieval using MS SQL.
Maintains data integrity and backups.
Performs continuous monitoring of database to ensure performance.
Develops PowerShell/CMD scripting for file and report distribution.
Reviews and interprets ongoing business report requirements.

Additional Duties:

Manages onboarding of new customers and report requirements.
Partners with other programmer analysts and developers to create data driven solutions.
Works with third party vendors to create and maintain data integrations with other applications.
Develops SQL Server Reports (SSRS) for customers and customer portal.
Provides 24/7 support rotation for production issues.
Works with Director of Compliance to ensure PCI DSS standards are being met.

Qualifications:

3+ Years MS SQL server experience including writing stored procedures with MS SQL, solid understanding of networking TCP/IP, strong understanding of Windows Servers and VMs, recent project management experience, must be able to gain solid understanding of the platform including databases, servers, virtual end points and vendor endpoints to support the business., possess strong communication skills.

The Fikes Companies is an Equal Opportunity Employer.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Experience:

MS SQL: 3 years (Preferred)
Database administration: 3 years (Preferred)

Work Location: In person

Show Less 
Report"
 Data ,,1,iShare Inc.,170,Solutions Architect / Data Architect -Onsite role in Austin Texas/ W2 only,"Ames, IA",$170K - $180K (Employer est.),10d,"Hiring on behalf of a client or the role of

Solutions Architect / Onsite role in Austin Texas/ W2 only

Details of the application, domain, as appropriate:

Snowflake, Data Engineering, Architecture, White Boarding, Large scale data migration, Big Data – Hadoop, Spark, PLM

Key responsibilities and expected “output”:

The individual will be working with various Architects, to determine the best fit solutions for a particular business problem. The development cycle involves Prototyping, leveraging Design Thinking fundamentals to define solutions for the PLM/Supply Chain. The individual needs to have background/understanding of SCM and PLM. The output/outcome would be scalable / robust architectures.

​“Required” tech stack and other related details:

Snowflake, Data Engineering, Big Data – Architecture and Design

Domain – PLM / SCM

“Good to have” tech stack and other related details:

Hadoop, Big Data

Job Type: Full-time

Pay: $170,000.00 - $180,000.00 per year

Schedule:

Monday to Friday

Experience:

snowflake: 10 years (Required)
Big data: 10 years (Required)
SCM ( Supply Chain) and PLM (Product Lifecycle): 10 years (Required)
Data Engineering: 10 years (Required)

Work Location: One location

Show Less 
Report"
 Data ,,1,We Are Sharing Hope Sc,2.9,Data Analytics Specialist,"Ames, IA",$56K - $70K (Employer est.),30d+,"Summary

The Data Analytics Specialist, under the general direction of the Director of Information Technology, and in accordance with good business practices and established procedures, will gather, manage, analyze, and report data from internal Organ Procurement Organization (OPO) systems and external industry systems. Analyze data to establish baseline performance metrics. Produce internal and external reports and assist with publication initiatives. Make recommendations for process improvement initiatives. Provide continuous monitoring of local donation activity data and regular reports to leadership. Promote efficiency throughout the organization utilizing creative and innovative thinking to develop, analyze and verify statistical measures.

Essential Duties & Responsibilities

Responsible for the integrity and quality of data within the Information Technology (IT) infrastructure to support operations, management and decision-making. Actively participate in cross departmental initiatives ensuring data is efficiently organized, managed and distributed. Enable strategic use of enterprise-wide information for cross-functional organizations and teams.
Provide data related services throughout the organization. Consult with leadership and workforce on process measures, evaluation techniques, as well as, current and potential IT related solutions.
Verify organ and tissue donor statistics in the electronic medical record system while using analytical tools.
Assist with process improvement where data or IT infrastructure is integral to the improvement. Monitors and participate in the compilation of OPO quality measures.
Ensure data collection processes are consistent, repeatable, and appropriate throughout the organization.
Assist with internal and external reporting requests and requirements.
Validates and analyzes various data, metrics, and information via business intelligence (BI), statistical and quality tools.
Analyze all organ and tissue recovery data and produces reports regarding activity, outcome, and recommended improvement areas.
Assist with the tracking of organizational metrics to support the success of the organization’s strategic efforts.
Facilitates team-based problem solving and multidisciplinary team use of various data-driven process improvement techniques such as Process Mapping and Root Cause Analysis. Applies business logic and ask questions that are not necessarily apparent.
Supports organizational survey processes with analysis, tracking and developing of survey data for both internal and external partners.
Develop and maintain specialized datasets and systems for recording and tracking appropriate data and statistical information.
Creates and distributes standardized and special reports, summaries, and analyses.
Organizes appropriate resources, organizational priorities and manages systems as related to data activities.
Maintains monthly scorecards and dashboards for the organization to ensure compliance with performance measures.
Integrates features and tools of Office 365 into the IT infrastructure.
Maintains a continuous and independent education on cutting-edge statistical techniques and tools.
Other duties as assigned.

Qualifications, Education & Experience


Bachelor’s Degree (preferred);
Minimum 2 of years’ experience in business analysis, and/or a quality improvement role;
Five years of experience with an organ and/or tissue procurement agency (preferred); or
An equivalent combination of education and experience.
Strong attention to detail and accuracy (required).
Ability to approach work conscientiously and methodically.
Ability to exercise initiative and sound judgment.
Understanding of basic statistics (required).
Demonstrated organizational skills required and ability to see tasks through to completion (required).
Strong interpersonal skills and ability to work both independently and as part of a team (required).
Working knowledge of medical terminology and medical records/procedures (preferred).
Demonstrated knowledge of and ability using a Personal Computer (PC), related Microsoft Office software and other report writing and BI software.
Show Less 
Report"
 Data ,,1,Portmeirion Group USA,401,"Supply Chain Administrative Assistant - Waterbury, Connecticut","Ames, IA",$40K - $45K (Employer est.),30d+,"Supply Chain Administrative Assistant - Waterbury, Connecticut

Company: Portmeirion Group USA

Position Title: Supply Chain Administrative Assistant

Location: Waterbury, CT

Schedule: Full Time

About the Company: A major force in the home fashion industry, Portmeirion Group USA encompasses the world-renowned brands of Portmeirion, Spode, Royal Worcester, Pimpernel, Wax Lyrical and Nambe ́. We are a market leader with a worldwide reputation for high quality and innovatively designed tableware, giftware, home fragrance and personal care. For further information about the Portmeirion Group, please visit our website: www.portmeiriongroup.com

Job Description: Portmeirion Group is seeking an entry-level energetic, highly driven professional to support our supply chain team in this cross-functional administrative role. Our department focuses on teamwork, efficiency, and rising to the challenge of meeting increasing demands in the everchanging world of the global supply chain. The ideal candidate can work independently to prioritize a high volume of tasks with competing deadlines in a fast-pasted environment while maintaining a positive attitude.

The successful candidate needs to be meticulously detail-oriented and exceptionally organized with excellent time management skills and an analytical mind. We need a quick learner with willingness to assist in all areas, from clerical duties to warehouse support. Excel and data entry skills are non-negotiable requirements and essential to day-to-day responsibilities. This position reports to the Senior Manager of Supply Chain.

Responsibilities:

Creates and tracks purchase orders through each stage of the process, from vendor acknowledgment to receipt of product.

Communicates directly with suppliers to track and maintain reporting on vendor shipments.

Checks order acknowledgments, shipping labels, and barcodes for accuracy.

Gathers data to create excel reports and graphs as needed to provide updates and status details to management.

Organize and maintain item, account, and vendor data within ERP system and shared documents.

Performs a wide range of administrative duties including, but not limited to creating and formatting spreadsheets, maintaining detailed records, and filing systems, scanning documents, and organizing general day-to-day operations.

Provides support as needed to the Supply chain team and management with daily administrative activities, month-end reporting, and special projects.

Collaborates with customer service, shipping/receiving, and other departments as needed.

Other duties as assigned.

Skills:

- Detail-oriented with a focus on accuracy

- Sense of urgency with the ability to effectively prioritize

- Strong organization, multitasking, and planning skills

- Excellent written and verbal communication skills

Requirements:

Experience

-Administrative or data entry experience required

- Intermediate skills in Microsoft Excel required (Data Analysis, Pivot tables, Vlookup)

Education

- Bachelor's degree preferred

Benefits

Benefits: 401(k), 401(k) matching, Employee discount, Medical, Dental, Vision, Life and, Disability insurance. Paid time off.

Job Type: Full-time

Pay: $40,000.00 - $45,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday
Overtime
Weekend availability

Ability to commute/relocate:

Waterbury, CT 06705: Reliably commute or planning to relocate before starting work (Required)

Experience:

Data entry: 2 years (Preferred)

Work Location: In person

Show Less 
Report"
 Data ,,1,Millennium Print Group,2.9,Variable Data Programmer,"Ames, IA",$43K - $65K (Glassdoor est.),12d,"Millennium Print Group ""MPG"", a subsidiary of The Pokémon Company International, is in The Research Triangle Park area of North Carolina.

Since its inception in 2014 under the current executive team, the Millennium Print Group has assembled a dedicated and highly talented staff of print professionals and has built a world-class organization that is customer focused, market-competitive, and quality driven.

Our unique ability offers a variety of services specializing in trading specialties and collectible cards. Since 2019, MPG has nearly tripled in size.

Currently, MPG is seeking to hire an experienced Variable Data Programmer for our location at 9301 Globe Center Dr, Morrisville, NC 27560. If you possess the required skills and experience as outlined below, please submit your resume for consideration.


RESPONSIBILITIES

Receive information from customers and create excel files for variable data to feed into variable data software.
Oversee, evaluate, and calibrate equipment, systems, and procedures used in the development and production of products.
Collaborate with other departments for change management, for developing regulatory documentation, and for cleaning validation activities monitoring.
Develop manufacturing processes to ensure proper scale up and design verification/validation.
Ensure that process improvements are evaluated and implemented through the change control management process.
Develop and maintain databases for tracking test results, validation activities, and/or validated systems.
Lead multiple projects with minimal oversight.
Take responsibility for all aspects of data management to include tracking and validating data.
Ensure accuracy and quality of data.
Complete other assigned projects and tasks.


MINIMUM QUALIFICATIONS

Knowledge of various variable data software (XMPie, HP SmartStream)
Advanced Microsoft Excel Skills
Intermediate math skills
Experience in variable data programming
Exceptional attention to detail
Ability to work independently and with multiple teams
Experience in print industry is preferred.


COMPENSATION & BENEFITS

MPG offers a leading-edge compensation package which includes the following:

A highly competitive compensation ""above the industry"" commensurate with experience which includes an annual incentive bonus plan
100% Employer-paid medical, dental base plan, vision, life/AD&D, and short-term and long-term disability, while subsidizing premiums for medical, dental, and vision for employee dependents
401(k) Plan with up to a 4% (dollar for dollar) Employer match
Health Savings/Flexible Spending Account options
Paid time off, including 9 company-paid holidays
Employee Assistance Program
And, much more!


For more information, please visit our Company Website at https://mprintgroup.isolvedhire.com/jobs/

Millennium Print Group is an Equal Opportunity Employer

To apply to this job, click Easy Apply

Show Less 
Report"
 Data ,,1,Brooks-TLC Hospital System,3.5,Quality Assurance & Data Coordinator,"Ames, IA",$65K - $85K (Employer est.),7d,"Job Summary: Job Summary: The Quality Assurance and Data Coordinator provides clinical quality assurance, coordinates data, project management and performance support to the Chief Medical Officer/Vice President of Quality and to the Quality Director. The incumbent will be responsible for a broad range of coordinator duties and will provide high-level support for the Medical and Quality Services, as directed by the CMO/VP Quality and/or Quality Director, to ensure efficient accomplishment of key tasks and hospital initiatives.

Promotes, leads, and supports hospital-wide quality improvement processes and initiatives through analysis of data, investigation, follow-up, and report generation of patient events and patient and/or family complaints, integration of multiple healthcare providers’ impact to patient care, and knowledge of various state and other agency regulations in the overall management and required improvement processes regarding the provision of quality care and compliance with regulatory agency requirements throughout the hospital system.
Performs detailed medical record quality indicator data review and chart reviews. Also assists monitoring of Event Reporting under the guidance of the Quality Director. Assists with other quality improvement studies, surveys and risk management activities.
Manages and coordinates administrative activities to ensure efficient and effective time management in order to consistently meet deadlines.
Provides internal and external communication, analysis of documents, preparation of research reports, and responds to all requests in a timely and efficient manner. Contributes to the execution of the department vision and strategies by identifying and executing improvement opportunities.
Leads and facilitates the identification of key measures, data analysis, process improvement, and the implementation of redesigned processes for system clinical and operational functions. Regularly monitors data and assists department managers in the development of data measures and associated action plans.
Maintains a tracking system and performs regular follow-up to assure proper completion of projects and plans.
Consults with service line teams and committees on outcomes, results, and improvement planning.
Must be able to problem-solve, use excellent judgement and be competent in decision-making.
Strong organizational skills and ability to prioritize multiple tasks seamlessly with a strong attention to detail.
Must exhibit excellent verbal and written communication skills, as well as very strong interpersonal skills and the ability to build relationships with key stakeholders.
Must be trustworthy, proactive and self-directed, and have the ability to incorporate creative approaches to various projects by taking initiative and working independently.

Education Requirements:

Required: Associate's Degree in nursing

Preferred: Bachelor’s Degree in nursing or nursing administration and training on Accreditation and Regulatory Agencies. Training/education in Clinical Quality Improvement.

Licensure/Certification Registration Requirements:

Required: NYS Licensed Practical or Registered Nurse

Preferred: Certification as Quality Auditor, Six Sigma, Quality Improvement Associate, or Quality Assurance.

Required Experience: Two (2) years of experience in Quality Improvement and Nursing in a hospital setting. Detail-oriented quality assurance specialist. Experience with implementation of corrective action programs. Excellent computer competence, including experience with databases and Microsoft Office. Analytical Skills, thoroughness, problem-solving and decision-making skills, customer service competency, ability to work in a team, outstanding interpersonal, verbal and written communication skills. Must be thorough and exhibit excellent judgement. Ability to work independently.

Preferred Experience: Five (5) to ten (10) years of experience in a healthcare setting. Experience developing and implementing quality assurance policies, conducting tests and inspections, identifying process and procedure issues, and presenting solutions.

Job Type: Full-time

Benefits:

Job Type: Full-time

Pay: $65,000.00 - $85,000.00 per year

Benefits:

Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Tuition reimbursement

Experience level:

2 years

Schedule:

8 hour shift

Work setting:

In-person
Office

Ability to commute/relocate:

Dunkirk, NY 14048: Reliably commute or planning to relocate before starting work (Required)

Experience:

Hospital: 2 years (Required)

Work Location: One location

Show Less 
Report"
 Data ,,1,Healthcare Training Leader,,Data Manager,"Ames, IA",$60K (Employer est.),17d,"E-commerce healthcare training company seeks full-time Data Manager to lead our team in the processing, loading and quality checking the marketing leads we acquire and add to our database.

These qualified marketing prospects are the lifeblood of our company. You will have the important job of managing the processes and staff that are responsible for the capture, completion, and accuracy of all marketing prospects added to our system. This process supports our marketing team and drives the majority of our company’s revenue.

Your day-to-day duties will range from diving in and processing actual prospect records before they are loaded to setting strategic goals for your team to ensure our prospect database continues to grow.

Key Responsibilities:

Manage the acquisition, validation, tagging, and formatting of new email marketing prospects.
Work closely with marketing team to optimize prospect volume and results
Coordinate between departments to ensure deadlines are met
Prioritize data so that the highest quality prospects are processed first
Meet monthly volume and accuracy goals
Front-line management of data processing team of 2 (1 onsite and 1 offsite)
Audit work to ensure accuracy and quality of data before loading
When needed, jump in and process prospects with your team to ensure goals are met
Solve problems as they arise to keep prospects moving

Requirements:

Values: Buy in and to our company values
Experience: 3+ years’ experience as data project manager (or similar job), preferably supporting marketing functions
Computer: EXCELLENT MS Excel skills

MS Dynamics and SQL a massive plus, but not required.

Healthcare Knowledge: Although not completely necessary, it would be hugely beneficial
Details: Track numerous details under tight deadlines with minimal errors.
Change: Ability to shift gears quickly.
Location: North Naples office (partially remote may be possible after time)
Deadlines: Meet numerous deadlines
Management: Strong problem-solving, multitasking and prioritization skills. You never give up.
Communications: Strong verbal and written communication skills.
Auditing: Ability to utilize key indicators to identify problems – then take action to resolve.
Strategy: Regularly examine current processes to identify opportunities to improve speed and accuracy.

Company Core Values: Own it, People Matter, Persistent Optimism, and Results

Our entire team moves fast and never shies away from a challenge. We are definitively a glass entirely full group. This doesn’t mean that we have our heads in the clouds. We live in reality, driven by data and numbers. When mistakes happen (which they do), we own them. Then, we use what we’ve learned and do it right the next time. We respect each other, but say what needs to be said. We work hard so we can have a balanced life. With that said, when we are here we are results-oriented and driven.

This role is a chance to use your talent and expertise to make a visible difference in our company growth. The opportunity to work with a dedicated, talented, fun team that love their jobs, thrive on results and really enjoy coming to work each day (life is too short to simply go through the motions). We even have a company dog (who is hypoallergenic).

We’re looking for a rock star to join our team that can make a real difference in our company success. So, if you have the skills and meet the requirements in this posting and if you want to work somewhere that appreciates you and the work you do, is fast-moving, positive and results driven – we would love to have you join our team!!!!

Job Type: Full-time

Pay: $60,000.00 per year

Benefits:

Flexible schedule
Health insurance
Paid time off
Tuition reimbursement

Schedule:

8 hour shift
Day shift
Monday to Friday
No nights
No weekends

Supplemental pay types:

Bonus pay

Application Question(s):

Are you able to work in our Naples, FL office?

Experience:

Microsoft Excel: 3 years (Required)
Data management: 3 years (Required)

Work Location: In person

Show Less 
Report"
 Data ,,1,Boulder Community Health,3.6,Cancer Data Registrar Coordinator,"Ames, IA",$23.21 - $34.80 Per Hour(Employer est.),30d+,"Full Time, Flexible weekday schedule. 36 hours/week.

Pay Range is between $23.21-$34.80/hr, depending on years of relevant and like experience.

Boulder Community Health is a Certified Level II Trauma Center. In 2022, we celebrated the 100thanniversary of the founding of our organization. We are honored to hold the awards of 2021 U.S. News & World ‘Best Hospitals for Maternity Care’, 2019 Best Medical Facility from Boulder Weekly, and Best Local Employer from Daily Camera. Come be part of an independent, community-focused health system; feel good knowing that your work will make a difference in people’s lives and positively contribute to the community.

POSITION SUMMARY

Coordinates the cancer data management system to promote quality care for the cancer patients at Boulder Community Health. Maintains compliance with the requirements for an approved cancer program and national accreditation program for breast centers set forth by the American College of Surgeons Commission on Cancer. Maintains compliance with the requirements for mandatory statewide reporting set forth by the Colorado Cancer Registry and Department of Public health.

JOB QUALIFICATIONS

Education or Formal Training

Accredited Record Technician (RHIT) or Registered Record Administrator (RHIA) preferred. Certified Tumor Registrar (CTR) required. ICD-9 Coding, cancer staging and word-processing. Expertise required with Excel spreadsheets and CNExT (or similar automated cancer registry system) ACOS web-based data upload process including but not limited to the National Call for Data (NCDB) and the Facility Identifiable data (FIPS level 1 & 2). State of Colorado Public Health and Environment compliance with state and federal laws mandating data collection and compliance in the research of those diagnosed with and treated for cancer. The Cancer Registry is responsible for guarding the hospitals compliance and fostering a cohesive relationship with the State liaisons and personnel and providing documentation to them upon request, to evidence the hospitals compliance with the state and federal statutes.

Special Qualifications (Licensure, Registration, etc.)

Bachelor or Associate Degree in health information technology are related field preferred. Certified Tumor Registrar (CTR) required.

Knowledge, Skill and Ability

Knowledge of all American College of Surgeons and State of Colorado requirements for Cancer Registry accreditation process. Working knowledge of all levels of accreditation and evidence of experience with standards.
Evidence of ability to produce an annual report and comply with procedures for reporting to the state as required by American College of Surgeons.
Demonstrated ability for successful completion of ACOS accreditation survey.
Demonstrated excellent communication skills:
Writing ability including accurate grammar and spelling as evidenced by concise and clear report writing, compilation and organization of annual reports, preparation of tumor conference agendas, and synopses of data.
Verbal skills as evidenced by ability to communicate with all members of the health care team, the state tumor registry and patients when appropriate.
Demonstrated ability to execute a successful breast & cancer conference.
Demonstrated ability to accurately analyze and abstract patient records with an average time of 60 minutes or less per abstract.
Detail-oriented with ability to make independent decisions and use critical thinking skills.
Demonstrated ability to execute accomplishment of ACOS required registry data studies
Demonstrated ability to execute scientific studies leading to sound data to be presented to the Cancer Committee as a source of outcomes analysis.
Demonstrated ability to keep apprised of the ever-changing policies and procedures of the state of Colorado and the data reporting elements involved in this process.
Demonstrated ability to research and comply with changing federal agency regulations.
Demonstrated ability to stay up to date with regulatory and complementary agencies to adjust hospital abstracting when a specific precedent has been changed or set. The agencies include but are not limited to; coding schemes (CPT, ICD-0-3, ICD-9-CM), Surveillance Epidemiology & End Results (SEER), American Joint Commission on Cancer (AJCC).
Must have knowledge and ability to perform required aspects of the computer and its programs: follow-up letters, statistical reports, Colorado State Cancer Registry reporting and other required medical and cancer data.

Experience

At least five years of experience as a cancer data registrar in an ACOS accredited Cancer Program.

ESSENTIAL DUTIES AND RESPONSIBILITIES

Assists in developing and maintaining cancer program standards by ACoS/COC and NAPBC.
Coordinates maintenance of appropriate files, reports and other cancer related data to ensure approval standards by the American College of Surgeons and the Colorado State Cancer Registry. Preparing graphs and statistics.
Prepares cancer reports and statistical data of the cancer program and breast center activities to administration, physician, outside agencies and/or Colorado State Cancer Registry.
Develops and implement changes in cancer registry policies and procedures to ensure CoC and NAPBC requirements
Monitors quality data (including periodic audits) to ensure data quality and compliance with state and CoC and NAPBC requirements.
Coordinates, plans, attends, documents, and promotes attendance at all Tumor Conferences.
Schedules a minimum of 4 Cancer Committee meetings a year on the medical staff calendar.
Drafts Cancer Committee agendas to represent each standard outlined by the ACOS. Allocate time on the agenda for each coordinator and specialty to give report, at the designated intervals required by the ACOS, if not more often.
Serves as a member of the Cancer Committee.
Coordinates Cancer Registry abstractors and oversight of all of their encompassing cancer registry activities.

About Boulder Community Health and Boulder, Colorado

Uncompromising medical excellence delivered with respect and compassion. Since 1922, Boulder Community Health has built a strong reputation on these values. As community-owned and operated not-for-profit hospital and clinic locations, we remain dedicated to the evolving needs of our citizens and providing access to high-quality care. Nestled in the foothills of the Rocky Mountains, the Boulder lifestyle is conductive to enjoying the outdoors and brings a fresh perspective to healthcare practice. Surround yourself by natural beauty and an active, life-embracing community. Enjoy state-of-the-art facilities and equipment along with competitive compensation and benefits, including health/dental/life, tuition reimbursement, on-site fitness center, Employee Wellness, Employee Activities & Discounts, and many more!


Location: Boulder Community Health · Oncology Services Admin
Schedule: Full-time, Days - 8 hour shifts, M - F, flexible schedule
Show Less 
Report"
 Data ,,1,"WorldCom Exchange, Inc",,Sr. Data Center Solutions Architect,"Ames, IA",,21d,"Key Responsibilities:

· Effectively can lead/direct a team of resources

· Understand power cooling/airflow as it pertains to a Data Centers globally

· Ability to perform power assessments and calculations

· Knowledge of structured cabling options

· Knowledge of power distribution and options both domestic and global

· Overall Data Center architecture and placement of equipment

· Can conform to shifting priorities, demands and timelines through analytical and problem-solving capabilities

· Technical background in Data Center, Power/Cooling, Storage, Compute and Networking Technologies

· Ability to create complete Data Center documentation with the associated tools

· Excellent client facing communication and presentation skills

· Working knowledge of application dependencies

· Architecturally assist in data center migrations and transformations, cloud and on-prem

· Understanding of HW Lifecyle management and strategies

· Ability to work with OEM’s understanding product requirements

· Ability to create staged migration activities around application dependencies

· Run fiber, power and Ethernet cabling to specifications

· Coordinate / Engage with and support third party vendors

· Perform cabinet/cage audits

· Perform migrations of equipment, power, or networking device

· Rack and install UPS and PDU devices into data center racks

· Basic Networking removal/installation and clearing of configurations

· Provide site survey support for infrastructure projects, as well as large space, power, equipment and Wi-Fi deployments.

· Documenting cut sheets, topologies, network configs, etc.

· Regularly takes time and attends regular formal or informal training to maintain and upgrade knowledge, skill, and performance levels

Knowledge and Skills Preferred:

· Finds technology and innovation intriguing and likes to have fun while approaching your work with passion and enthusiasm.

· Team player with the ability to work with others solving problems.

· Strong interpersonal, written, and oral communication skills

· Strong ability to work independently or in a team-oriented, collaborative environment

· Self-starter, self-motivated, ability to effectively prioritize and execute tasks

· Can conform to shifting priorities, demands and timelines through analytical and problem-solving capabilities

· Technical background in Data Center, Power/Cooling, Storage, Compute and Networking Technologies

· MS Word, MS Excel, PowerPoint, MS Project, Visio, SharePoint, or equivalents

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Ability to commute/relocate:

Salem, NH 03079: Reliably commute or planning to relocate before starting work (Required)

Experience:

Engineering: 10 years (Required)

Work Location: Hybrid remote in Salem, NH 03079

Show Less 
Report"
