Keyword,Location,Job_title,Job_link,Company,Company_link,Job_location,Post_time,Applicants_count,Job_description,Seniority_level,Employment_type,Job_function,Industries
Data Scientist,United States,Statistical Data Scientist,https://www.linkedin.com/jobs/view/statistical-data-scientist-at-tcwglobal-formerly-targetcw-3502215331?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=oPSSdM6VT4c4G4bgU9L5Jw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                TCWGlobal (formerly TargetCW)
              ",https://www.linkedin.com/company/tcwglobal?trk=public_jobs_topcard-org-name,"
              West Lafayette, IN
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 weeks ago
  
      ","
          103 applicants
        ","Statistical Data Scientist

Onsite in West Lafayette, IN (47906)

$40-$45/hour DOE

Temporary assignment expected to be 12-months with potential for extension/conversion




We are looking for a dynamic and highly motivated statistical data scientist who is committed to and passionate about implementation of cutting-edge technology in plant breeding to accelerate genetic gain. You will bring your expertise in statistics and data science to boost the companies ability to fundamentally transform plant breeding. As a statistical data scientist, you will work with senior statistical data scientist to execute the scientific strategy through experimental design optimization and implementation of advanced statistical modeling on the data from research pipelines.




Job Responsibilities:

Assist in modernizing our field trialing system by implementation of imagery technology and spatial analyses to gain insights and enhance decision making.
Help to solve problems related to experiment design and statistical analyses for studies in lab, green-house, and field.
Identify limitations for improvement with existing methodologies using advanced statistical methodologies.
Perform inferential analyses, including documentation, to support decision-making and patent submissions, publications, and scientific presentations.




Requirements:

MS in statistics or biostatistics, or MS in crop science and environment modeling with solid statistical training
Demonstrated proficiency in a wide range of statistical techniques including experimental design, general and generalized linear mixed models, non-linear mixed models, multivariate statistics, non-parametric analysis, and Bayesian statistics.
Demonstrated teamwork and collaboration skills across disciplines of statistics, plant science, and data engineering.
Proficiency in the R, SAS, and other programming languages.
Strong communication skills for presentations and delivery of complex quantitative analyses in a clear, concise, and actionable manner to extended teams and small groups of key stakeholders.
Formal training or/and experience in plant science research preferred.
Solid experience in AWS preferred.
Demonstrated proficiency in machine learning algorithms and concepts for imagery data preferred.




TCWGlobal is an equal opportunity employer. We do not discriminate based on age, ethnicity, gender, nationality, religious belief, or sexual orientation.","
            Not Applicable
          ","
          Full-time
        ","
            Research and Science
          ","
          Biotechnology Research and Farming
          "
Data Scientist,United States,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-biospace-3530589055?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=d7kQaGbr5OPuewghS1DsxA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                BioSpace
              ",https://www.linkedin.com/company/biospaceinc?trk=public_jobs_topcard-org-name,"
              Social Circle, GA
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      13 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.

Job Description

About the role:

Support the execution for local implementation of GMS data science roadmap plans.

How You Will Contribute

Help manage and driving local data science plans according to prioritization (e.g. Predictive Maintenance, Down Time Analysis, Yield Improvement etc.). Manage the respective functional and interdependencies accordingly.
Help guide local process monitoring and process improvement in collaboration with global GMS data science (e.g. descriptive statistics and visualization, statistical process control, out-of-the-box-tools) and AGILE/Operational Excellence team.
Manage, driving and executing respective reporting in collaboration with global GMS data science (e.g. automated daily/monthly/annual).
Support and participate in global/functional/local GMS data science community.
Guide necessary local trainings.
Support the local execution und implementation of GMS Data Science strategy and plans.
Support in executing local data science plans.
Gather and identify local data science possibilities/plans/requests in collaboration with local team, IT, Engineering, Quality and global GMS data science.
Support Continued Process Verification Plans, Continuous Improvement, Investigations, and trainings.


What You Bring To Takeda

Education and Experience Requirements

University degree of science/business/engineering: Advanced degree (Bachelor or Master) in quantitive field, e.g. in Engineering, Mathematics, IT, Economics or Physics with focus on either Control Theory/Statistics/Mechatronics, Information/Operation, Management/Strategy/Economics, Technology and Innovation Management.
2+ years work experience in data analysis related position or equivalent academic experience/course record.
Hands-on experience applying and executing Artificial Intelligence/Deep Learning, Machine Learning, Big Data and Digital with respective programming knowledge.
Contribution to github repositories and stackoverflow and participations in competitions, e.g. on kaggle, data challenges, hackathons are advantageous.
Demonstrated contribution or interest to ethics of Artificial Intelligence.
Fluent in English.


Key Skills, Abilities, And Competencies

Experience in Artificial Intelligence/Deep Learning, Machine Learning, Big Data and Digital.
Respective programming knowledge in Python/R/C is required. Further programming experience is advantageous.
Proficiency in database languages (SQL), understanding of data models and databases.
Compositional data analysis and analyzing time series data.
Distributed computing, stochastic modelling, sampling methods and randomized algorithms.
Explainable Artificial Intelligence methods.


Complexity and Problem Solving

Change management complexity.
Capabilities to translate our needs into data analytics concepts and the other way.
Hands-on, able to implement plans.
Responsible for daily operation of local data science organization, covering all data science levels and related technologies.
Translate data science, artificial intelligence and machine learning trends and technology into execution.


Internal and External Contacts

Impact across GMS portfolio ( Role requires partnership with local functions, IT, Engineering, Quality and Global Data Science team).
Ability to interface with international stakeholders and to connect internal and external data analytics experts of both academia and industries.
Clear partnership with Quality is required to ensure understanding for data science processes.


Other Job Requirements

Willingness to travel to various internal/external Takeda meetings and events.


What Takeda Can Offer You

Add/remove based on the benefits in the primary location to which the job is posted.

Comprehensive Healthcare: Medical, Dental, and Vision
Financial Planning & Stability: 401(k) with company match and Annual Retirement Contribution Plan
Health & Wellness programs including onsite flu shots and health screenings
Generous time off for vacation and the option to purchase additional vacation days
Community Outreach Programs and company match of charitable contributions
Family Planning Support
Professional training and development opportunities
Tuition reimbursement
Important Considerations

In This Role, You May

At Takeda, our patients rely on us to deliver quality products. As a result, we must follow strict rules in our manufacturing facilities to ensure we are not endangering the quality of the product.

Work in a controlled environment requiring special gowning and wear protective clothing over the head, face, hands, feet and body. This may include additional hearing protection for loud areas.
Need to remove all make-up, jewelry, contact lenses, nail polish and/or artificial fingernails while in the manufacturing environment.
Work in a cold, wet environment.
Work multiple shifts, including weekends, or be asked to work supplemental hours, as necessary.
Work around chemicals such as alcohol, acids, buffers and Celite that may require respiratory protection.


More About Us

At Takeda, we are transforming patient care through the development of novel specialty pharmaceuticals and best in class patient support programs. Takeda is a patient-focused company that will inspire and empower you to grow through life-changing work.

Certified as a Global Top Employer, Takeda offers stimulating careers, encourages innovation, and strives for excellence in everything we do. We foster an inclusive, collaborative workplace, in which our teams are united by an unwavering commitment to deliver Better Health and a Brighter Future to people around the world.

This posting excludes Colorado applicants.

#GMSGQ

#ZR1

EEO Statement

Takeda is proud in its commitment to creating a diverse workforce and providing equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, parental status, national origin, age, disability, citizenship status, genetic information or characteristics, marital status, status as a Vietnam era veteran, special disabled veteran, or other protected veteran in accordance with applicable federal, state and local laws, and any other characteristic protected by law.

Locations

USA - GA - Social Circle - Hwy 278

Worker Type

Employee

Worker Sub-Type

Regular

Time Type

Full time

","
            Entry level
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Internet News
          "
Data Scientist,United States,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-russell-tobin-3511734792?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=%2FLiRrZBlcwv3OWKAc6PSgw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Russell Tobin
              ",https://www.linkedin.com/company/russell-tobin-&-associates-llc?trk=public_jobs_topcard-org-name,"
              San Jose, CA
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 days ago
  
      ","
          
          
            Over 200 applicants
          
        ","Description:

Drive analysis on various projects to improve the experience of our users

Own data analysis and visualization, and communicate the outcomes/insights to various stakeholders to aid strategic decisions
Identify operational weaknesses and help improve or innovate new processes
Coordinate with product and marketing teams to gather requirements and measure the impact and efficiency of new products, campaigns, and initiatives
Develop analytical frameworks to support decision making
Build, maintain, and communicate detailed reporting & models

Skills:

Experience in B to C software product analytics for SaaS and/or mobile apps

Ability to code complex SQL queries
Experience with Python or R preferred
High-growth analytics or operations experience
Create dashboards in power bi
Understanding of statistics concepts
Ability to interpret data and present
Independent worker
Excellent written and verbal communication skills
Data modeling / ML skills a plus
Experience with content / UGC analysis a plus

Education:

3 + years experience in analytics, business intelligence, data engineering, or a similar role
BA/BS/Masters in Economics, Business, Engineering, Operations Research, or other quantitative focus (or equivalent work experience)","
            Mid-Senior level
          ","
          Contract
        ","
            Engineering and Information Technology
          ","
          Staffing and Recruiting
          "
Data Scientist,United States,Lead Data Scientist,https://www.linkedin.com/jobs/view/lead-data-scientist-at-arine-3503607296?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=6KoA2WpJMzntNq1krehY7w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Arine
              ",https://www.linkedin.com/company/arinehealth?trk=public_jobs_topcard-org-name,"
              United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 weeks ago
  
      ","
          
          
            Over 200 applicants
          
        ","About Arine:

Based in San Francisco, Arine is a rapidly growing healthcare technology and clinical services company with a mission to ensure that individuals receive the safest and most effective treatments for their unique and evolving healthcare needs. Non-optimized medication therapy results in more than $520 billion of waste, avoidable harm and hospitalizations each year. Arine solves these issues through our software platform, combining data science and clinical expertise to develop personalized care plans for patients and their care teams. Arine works with leading healthcare organizations to provide and facilitate clinical interventions that result in significant health improvement for patients.




Why Arine:

Medications frequently cause more harm than good, with incorrect drugs and doses costing the US healthcare system over $520 billion each year. The company solves these issues through their “Virtual Pharmacist” software platform, which combines data science and clinical expertise to develop personalized care plans for patients and their care teams.

We are improving the health of complex patients facing numerous challenges, including multiple chronic diseases and access to care issues. Arine works with leading healthcare organizations to provide and facilitate clinical interventions that have resulted in significant health improvement for patients and cost savings for customers.




The Role:

This is a hands-on technical leadership role with executive-level visibility, a finger on the pulse of the overall business, and broad impact for someone who exhibits intellectual curiosity and rigor, and a capacity of execution to tackle some of the most critical technical challenges that span the breadth of our business.




Reporting to our CTO, you will grow and lead a team of experienced data scientists. You will act as both a people and technical thought leader.

You are an expert data scientist with extensive experience managing/directing data science teams, implementing team processes, and managing direct reports.
You have expertise in advanced statistical methods including survival analysis, causal inference, matched-pair analyses.
You have experience designing, building, and presenting analyses on health care utilization and outcomes, maintaining a high level of scientific and statistical rigor and quality.
You have experience interpreting and cleaning healthcare data, especially healthcare claims data.
You are a thought leader for the team’s work on product analytics and experimentation, modeling and predictive analytics, and drive the overall data strategy for the company.
Work closely with Customer Success and Clinical Operations to design data-driven product features and care program improvements.
You have expertise in machine learning techniques, design patterns, and best practices for predictive modeling, including shipping machine learning models to production systems and evaluating their performance.
Bonus points if you thrive in a fast-paced early-stage technology startup environment.




The posted range represents the expected salary range for this job requisition and does not include any other potential components of the compensation package, benefits and equity. Ultimately, in determining pay, we'll consider your experience, leveling, location and other job-related factors. San Francisco Base Pay Range: $180,000 - $200,000 USD




Arine is a diverse and inclusive team. We are an equal opportunity employer. We welcome applicants from all backgrounds to apply regardless of race, ethnicity, religion, gender, sexual orientation, age, disability status, or other defining characteristics.

Check our website at https://www.arine.io. This is a unique opportunity to join a growing start-up revolutionizing the healthcare industry!","
            Director
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Hospitals and Health Care
          "
Data Scientist,United States,Machine Learning Researcher and Engineer,https://www.linkedin.com/jobs/view/machine-learning-researcher-and-engineer-at-life-science-people-3513217735?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=z0YN4HeEqNcVqOF2dceTug%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Life Science People
              ",https://uk.linkedin.com/company/life-science-people?trk=public_jobs_topcard-org-name,"
              New York, United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 days ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        Life Science People is currently partnered with a leading biotechnology research company working on advanced molecular computational diagnosis and analysis. Successful hires will expand the group's ongoing efforts applying machine learning to drug discovery, biomolecular simulation, and biophysics. Ideal candidates will have demonstrated expertise in developing deep learning techniques, as well as strong Python programming skills. Relevant areas of experience might include molecular dynamics, structural biology, medicinal chemistry, cheminformatics, and/or quantum chemistry, but specific knowledge of any of these areas is less critical than intellectual curiosity, versatility, and a track record of achievement and innovation in the field of machine learning.
      ","
            Mid-Senior level
          ","
          Full-time
        ","
            Research and Engineering
          ","
          Medical Equipment Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing
          "
Data Scientist,United States,Machine Learning Research Engineer Internship,https://www.linkedin.com/jobs/view/machine-learning-research-engineer-internship-at-chemix-inc-3518422992?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=MFB2kDYPdYs4LfJRytxBXQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Chemix, Inc.
              ",https://www.linkedin.com/company/chemix-inc?trk=public_jobs_topcard-org-name,"
              Sunnyvale, CA
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      ","
          
          
            Over 200 applicants
          
        ","Chemix is seeking a highly-motivated machine learning research engineer intern to help develop and expand our internal AI capabilities for battery materials discovery. Our AI platform is the core of Chemix. Though data is first and foremost in any application of AI, it is typically very scarce in materials development. We've designed our entire R&D operation to generate battery materials datasets of unprecedented size and quality. As a machine learning research engineer intern at Chemix, your mission is to work with our machine learning scientists to (i) suggest, prototype, and test new algorithms, and (ii) design and build the machine learning pipelines that turn our data into actionable results. You'll make a fundamental contribution to developing the batteries that will power the electrification revolution in transportation and beyond.

As an early employee at a fast-moving startup, we expect you to quickly and creatively solve all kinds of technical problems, including those beyond your core expertise. An ideal candidate is able to learn quickly, is eager to stretch their knowledge of the ML and data software stack, takes pride in the quality of their work, and wants to make a real impact in energy storage technologies for electric transportation.

Responsibilities:

Suggest, prototype, and test new ML algorithms based on our large materials datasets
Discover and introduce new ML models, statistical methods, software frameworks, and libraries
Contribute code to Chemix's internal codebase (Python)
Interface with our data scientists, data/software engineers, and battery engineers
Implement best practices for code development and ML-ops, experiment tracking, etc
Inform the optimization of the R&D process that generates our data


Requirements

In-progress, or recently completed, MS or PhD in applied machine learning or adjacent field.
Experience with core data science, machine learning, and statistics concepts
Experience with the python data ML stack: pandas, numpy, sklearn, pytorch / tensorflow
Experience with the fundamentals of ML and software ops: git, testing, CI/CD, experiment tracking, cloud computing
Clear communication and good people skills
Strong organization and ability to manage parallel projects


Nice to have:

Previous battery data experience
Familiarity with experimental chemistry/materials science


Benefits

Stock Option Plan
Health Care Plan (Medical, Dental & Vision)
Retirement Plan (401k)
Paid Time Off (Vacation, Sick & Public Holidays)
Family Leave (Maternity, Paternity)","
            Not Applicable
          ","
          Internship
        ","
            Engineering
          ","
          Technology, Information and Internet
          "
Data Scientist,United States,Bioinformatician / Data Scientist,https://www.linkedin.com/jobs/view/bioinformatician-data-scientist-at-teamsoft-3513226002?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=mG0rt%2BA1IqrP3lCehjBFPw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                TeamSoft
              ",https://www.linkedin.com/company/teamsoft-inc?trk=public_jobs_topcard-org-name,"
              United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        TeamSoft’s client is looking for a Bioinformatician/Data Scientist! Responsibilities:Processing and quality control of NGS data Analysis of differential gene expression Development and implementation of custom analysis pipelines Interpretation of results and identification of data trends Regular communication of results and progress to team members and stakeholders.  Qualifications:Master's degree in bioinformatics, data science, statistics, or a related field and at least two years of directly relevant experience Experience working with transcriptomics (RNAseq) data analyses, differential expression analyses and related pipelines Proficiency in computational genomics analyses, and analyses of next generation sequencing datasets Strong proficiency in PythonFamiliarity with RDemonstrated experience in high performance computing and cloud technologies including Kubernetes Experience developing reproducible analytical workflows using version control tools such as git and workflow managers such as NeXT flow
      ","
            Mid-Senior level
          ","
          Contract
        ","
            Information Technology
          ","
          IT Services and IT Consulting
          "
Data Scientist,United States,Bioinformatician / Data Scientist,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-selby-jennings-3510816153?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=jjliw6KepOuereDr9ErFeA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                TeamSoft
              ",https://www.linkedin.com/company/teamsoft-inc?trk=public_jobs_topcard-org-name,"
              United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        TeamSoft’s client is looking for a Bioinformatician/Data Scientist! Responsibilities:Processing and quality control of NGS data Analysis of differential gene expression Development and implementation of custom analysis pipelines Interpretation of results and identification of data trends Regular communication of results and progress to team members and stakeholders.  Qualifications:Master's degree in bioinformatics, data science, statistics, or a related field and at least two years of directly relevant experience Experience working with transcriptomics (RNAseq) data analyses, differential expression analyses and related pipelines Proficiency in computational genomics analyses, and analyses of next generation sequencing datasets Strong proficiency in PythonFamiliarity with RDemonstrated experience in high performance computing and cloud technologies including Kubernetes Experience developing reproducible analytical workflows using version control tools such as git and workflow managers such as NeXT flow
      ","
            Mid-Senior level
          ","
          Contract
        ","
            Information Technology
          ","
          IT Services and IT Consulting
          "
Data Scientist,United States,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-tech-mahindra-formerly-mahindra-satyam-3491963144?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=PLPrczLRFTZuBSXIabk%2FKw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Tech Mahindra (formerly Mahindra Satyam)
              ",https://in.linkedin.com/company/mahindra-satyam?trk=public_jobs_topcard-org-name,"
              Sunnyvale, CA
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 weeks ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        Data ScientistSunnyvale, CA – Onsite Must to have skills - Python, Pandas, Data Analysis, Tableau
      ","
            Mid-Senior level
          ","
          Full-time
        ","
            Business Development and Sales
          ","
          IT Services and IT Consulting
          "
Data Scientist,United States,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-versatech-inc-3522805631?refId=7%2FqiT%2BGKpnRTEUOYq%2FKj6w%3D%3D&trackingId=SD8vigpQYCdzOxxJZk9K3w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                VersaTech, Inc
              ",https://www.linkedin.com/company/versatech-inc?trk=public_jobs_topcard-org-name,"
              United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      3 weeks ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","Company Description




VersaTech is an ISO-certified provider of innovative technology solutions to the public sector, providing services that include Digital Transformation, IT Infrastructure Support, Cyber Security, Agile Software Development, Audio Visual Solutions, and Healthcare Consulting. Our long record of customer satisfaction and commitment to excellence provides assurance to our clients that we have the talent, management, and innovation necessary to solve their problems and exceed expectations.




Job Description




We are looking for a highly capable Machine Learning engineer to optimize machine learning systems for our Federal Government clients. You will be evaluating existing Machine Learning (ML) processes, performing statistical analysis to resolve data set problems, enhancing the accuracy of AI software's predictive automation capabilities, and developing BOTs designed to automate tasks.




To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive automation software.




Machine Learning Engineer Responsibilities




Consulting with managers to determine and refine machine learning objectives.
Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive models.
Creating attended BOTs with primary focus on development of BOTs that will help automate processes and/or tasks.
Transforming data science prototypes and applying appropriate ML algorithms and tools for data, graph, audio, and video data.
Ensuring that algorithms generate accurate user recommendations.
Turning unstructured data into useful information by auto-tagging images and text-to-speech conversions.
Solving complex problems with multi-layered data sets, as well as optimizing existing machine learning libraries and frameworks.
Developing ML algorithms to analyze huge volumes of historical data to make predictions.
Running tests, performing statistical analysis, and interpreting test results.
Documenting machine learning processes.
Keeping abreast of developments in machine learning.




Machine Learning Engineer Requirements




Bachelor's degree in computer science, data science, mathematics, or a related field.
Master’s degree in computational linguistics, data analytics, or similar will be advantageous, but not mandatory.
At least two years' experience as a machine learning engineer.
Experience with Community Edition RPA tool
Proficiency with Python, UiPath, TensorFlow, and R code writing.
Extensive knowledge of ML frameworks, libraries, data structures, data modeling, and software architecture.
In-depth knowledge of mathematics, statistics, and algorithms.
Superb analytical and problem-solving abilities.
Great communication and collaboration skills.
Good time management and organizational abilities.




VersaTech offers an excellent benefits package that includes 401k employer-matching retirement contributions, generous paid time off (3 weeks PTO plus 11 holidays), and ample growth opportunities.




COVID-19 Vaccination: To protect the health and safety of its employees and to comply with customer requirements, VersaTech, Inc. may require employees to wear masks while on our customer and corporate sites as required.




VersaTech, Inc. is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decision without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class.




Find out who we are: http://versatechinc.com/


","
            Entry level
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Technology, Information and Media
          "
